rank,coin_id,coin_name,symbol,price,price_change_24h,volume_24h,market_cap,category,scraped_at,price_change_1h_pct,price_change_24h_pct,price_change_7d_pct,market_cap_rank,high_24h,low_24h,circulating_supply,total_supply,ath,ath_date,atl,atl_date
,hyperliquid,Hyperliquid HYPE,HYPE,41.12,2.5%,1110159106.0,11194834411.0,Derivatives,2025-11-05T13:15:13.396925,2.4359693304486387,8.44185,-16.37025262479101,17.0,41.35,35.9,270772999.4341414,999835210.4341414,59.3,2025-09-18T03:30:30.650Z,3.81,2024-11-29T09:30:30.871Z
,polkadot,Polkadot DOT,DOT,2.6,1.4%,370196595.0,4258139643.0,Layer 0 (L0),2025-11-05T13:15:26.548473,1.4143454200494348,0.06661,-16.357588104265773,39.0,2.64,2.37,1633683462.892296,1633683462.892296,54.98,2021-11-04T14:10:09.301Z,2.13,2025-10-10T21:27:58.296Z
,internet-computer,Internet Computer ICP,ICP,5.03,3.5%,1042413643.0,2703208364.0,Layer 0 (L0),2025-11-05T13:15:26.639298,3.4518245220760635,0.11816,62.82645392530858,52.0,6.32,4.76,539521483.170866,539521483.170866,700.65,2021-05-10T16:05:53.653Z,2.23,2025-10-10T21:26:36.019Z
,dash,Dash DASH,DASH,108.75,6.5%,1358403737.0,1350242457.0,Masternodes,2025-11-05T13:15:00.895632,6.449367502299874,-14.66529,124.381384194122,81.0,142.25,101.5,12473042.60861232,12473198.95547764,1493.59,2017-12-20T00:00:00.000Z,0.213899,2014-02-14T00:00:00.000Z
,beldex,Beldex BDX,BDX,0.081698,0.6%,11068740.0,611140483.0,Masternodes,2025-11-05T13:15:01.019032,0.6275534815577103,1.00941,3.662689346787441,138.0,0.081733,0.08034,7477276881.213255,9938257866.453707,0.450785,2018-12-17T00:00:00.000Z,0.00027519,2019-11-01T11:05:12.090Z
,plasma,Plasma XPL,XPL,0.283683,4.5%,434819797.0,541327731.0,Echo Launchpad,2025-11-05T13:14:53.888388,4.304711941301954,11.34545,-21.431662192376177,152.0,0.287981,0.229687,1888888888.8889,10000000000.0,1.68,2025-09-28T01:31:40.327Z,0.229687,2025-11-04T21:38:05.918Z
,pendle,Pendle PENDLE,PENDLE,2.64,1.5%,89566375.0,445001199.0,Derivatives,2025-11-05T13:15:13.529345,1.519870822837748,-1.03764,-19.31176875537984,176.0,2.76,2.49,168471227.0487823,281527448.4585314,7.5,2024-04-11T08:25:36.646Z,0.03377729,2022-11-14T20:15:58.336Z
,myx-finance,MYX Finance MYX,MYX,2.03,5.4%,42797408.0,380940587.0,Derivatives,2025-11-05T13:15:13.658177,5.469709534742426,14.30301,-20.97597702699551,200.0,2.2,1.74,190768939.69,1000000000.0,19.03,2025-09-11T03:15:27.945Z,0.04700553,2025-06-19T17:36:45.581Z
,atomone,AtomOne ATONE,ATONE,2.36,0.9%,529987.0,290578365.0,Layer 0 (L0),2025-11-05T13:15:26.818064,0.9129693419923557,7.14593,-14.303882299039888,235.0,2.37,2.11,122794897.422161,134602809.082161,16.99,2025-10-01T20:56:46.952Z,0.148095,2025-09-04T06:57:38.524Z
,layerzero,LayerZero ZRO,ZRO,1.45,1.2%,85820535.0,161838189.0,Layer 0 (L0),2025-11-05T13:15:26.907217,1.239620040572817,4.54949,-13.776415810418055,342.0,1.46,1.31,111152854.20763355,1000000000.0,7.47,2024-12-06T14:15:52.674Z,1.12,2025-10-10T21:27:10.208Z
,arkham,Arkham ARKM,ARKM,0.295629,2.0%,55183443.0,152261816.0,Derivatives,2025-11-05T13:15:13.908402,1.579426046383349,2.40095,-18.187680310600587,359.0,0.299895,0.279004,514303874.0,1000000000.0,3.98,2024-03-10T00:04:54.733Z,0.180099,2025-10-10T21:28:14.211Z
,avantis,Avantis AVNT,AVNT,0.521413,1.7%,63845352.0,135097453.0,Derivatives,2025-11-05T13:15:14.016345,1.350888764388694,-4.0893,-20.069559639351247,395.0,0.550587,0.498461,258205903.14667922,1000000000.0,2.64,2025-09-22T00:21:56.300Z,0.187764,2025-09-09T15:46:28.225Z
,drift-protocol,Drift Protocol DRIFT,DRIFT,0.336572,1.7%,24526698.0,129879568.0,Derivatives,2025-11-05T13:15:14.138474,1.6590926259486043,-1.10035,-18.496471754402553,401.0,0.350051,0.322543,384177296.552379,1000000000.0,2.6,2024-11-09T01:41:24.471Z,0.100002,2024-05-16T10:01:32.623Z
,gmx,GMX GMX,GMX,8.9,1.3%,16315034.0,92724876.0,Derivatives,2025-11-05T13:15:14.551630,0.7910185570378234,2.8926,-12.288791895458303,486.0,8.99,7.95,10344746.0426927,10344746.0426927,91.07,2023-04-18T10:00:25.680Z,6.92,2025-10-10T21:27:08.940Z
,uma,UMA UMA,UMA,0.925583,1.5%,16706398.0,81974694.0,Derivatives,2025-11-05T13:15:14.673504,1.5540578387301187,-5.57179,-17.89004127813004,523.0,1.001,0.886695,88212079.7901161,126495701.8711396,41.56,2021-02-04T11:27:11.433Z,0.303625,2020-04-29T17:00:41.760Z
,altlayer,AltLayer ALT,ALT,0.01565979,1.4%,31816994.0,74230815.0,Rollups-as-a-Service (RaaS),2025-11-05T13:14:46.662873,1.3868634582553825,-8.90801,-18.341892427414543,554.0,0.01719118,0.01486926,4718402775.0,10000000000.0,0.676743,2024-03-28T23:20:10.066Z,0.01329349,2025-10-10T21:31:37.182Z
,ontology,Ontology ONT,ONT,0.079193,0.7%,8140588.0,72990314.0,Masternodes,2025-11-05T13:15:01.156108,0.7315459753545894,0.34333,-11.297299170476341,556.0,0.080993,0.07439,918864523.0,1000000000.0,10.92,2018-05-03T01:43:05.844Z,0.064869,2025-10-10T21:33:43.067Z
,fulcrom,Fulcrom FUL,FUL,0.00422577,1.3%,44839.0,69921961.0,Derivatives,2025-11-05T13:15:14.777730,1.276733995690383,-4.5937,-18.592912219684685,570.0,0.00453842,0.00398963,16556452987.7008,20000000000.0,0.04004179,2023-04-05T02:48:03.311Z,0.00299412,2025-10-10T21:25:38.151Z
,caldera,Caldera ERA,ERA,0.345533,17.6%,84403805.0,63959050.0,Rollups-as-a-Service (RaaS),2025-11-05T13:14:46.761125,17.039154094261303,45.15764,14.648576554870049,596.0,0.372096,0.221567,174750000.0,1000000000.0,1.88,2025-07-17T20:36:33.109Z,0.221567,2025-11-05T01:40:26.501Z
,whiteheart,Whiteheart WHITE,WHITE,5969.11,,0.0,53053451.0,Derivatives,2025-11-05T13:15:15.013833,,,-13.221231397431875,674.0,,,8888.0,8888.0,8457.1,2025-08-24T18:42:56.029Z,57.1,2022-06-18T21:11:01.884Z
,seth,sETH SETH,SETH,3261.05,0.8%,265.66,37793570.0,Derivatives,2025-11-05T13:15:15.388014,0.7753063173983825,-5.76824,-17.913408598272515,830.0,3512.84,3051.92,11584.25414847524,11584.25414847524,4876.35,2021-11-10T14:26:23.071Z,0.01254476,2020-04-01T00:44:33.804Z
,gains-network,Gains Network GNS,GNS,1.36,0.9%,2496356.0,37560863.0,Derivatives,2025-11-05T13:15:15.519800,0.8482309154067048,-0.78734,-7.902205035069379,833.0,1.4,1.29,27543015.0,27543015.0,12.48,2023-02-17T07:55:07.998Z,0.265841,2021-11-29T05:56:42.899Z
,nirvana-ana-2,Nirvana ANA ANA,ANA,4.17,0.0%,3507.07,32159353.0,Derivatives,2025-11-05T13:15:15.708876,-9.089439307201613e-05,0.11198,-2.495184938534527,920.0,4.18,4.15,7718912.73274,7718912.73274,5.22,2025-09-07T00:17:08.767Z,3.9,2025-08-11T23:20:08.378Z
,c8ntinuum,c8ntinuum CTM,CTM,0.03829877,1.3%,1246423.0,31598702.0,Layer 0 (L0),2025-11-05T13:15:27.090972,1.3009190744346604,-0.38974,-18.88088733619962,931.0,0.03909298,0.03546456,824932137.4576089,888888360.4576089,0.11106,2025-04-22T15:05:26.443Z,0.0080516,2025-09-02T07:57:45.921Z
,dymension,Dymension DYM,DYM,0.078505,1.9%,8216029.0,31199734.0,Rollups-as-a-Service (RaaS),2025-11-05T13:14:46.863198,1.8963928069681728,-3.91214,-19.265147771441075,942.0,0.082985,0.070934,397385244.0,1000000000.0,8.5,2024-02-14T14:29:43.198Z,0.054612,2025-10-10T21:33:16.617Z
,derive,Derive DRV,DRV,0.03614178,0.5%,232419.0,31032876.0,Derivatives,2025-11-05T13:15:15.843773,0.5374724248024644,-9.15033,-16.506873812535204,948.0,0.04134176,0.03482835,858449390.1173825,1500000000.0,0.228265,2025-01-15T03:52:14.666Z,0.01243699,2025-04-07T13:31:06.926Z
,pivx,PIVX PIVX,PIVX,0.300192,1.1%,20690078.0,29535781.0,Masternodes,2025-11-05T13:15:01.510552,1.0658968875905022,-17.20862,14.892955175499692,970.0,0.405177,0.281026,98012777.81907354,98012777.81907354,13.56,2018-01-10T00:00:00.000Z,0.00052324,2016-02-15T00:00:00.000Z
,hegic,Hegic HEGIC,HEGIC,0.02650408,0.8%,90191.0,28618172.0,Derivatives,2025-11-05T13:15:16.008505,0.7683212256584888,-11.94298,-25.514929042940697,986.0,0.03058466,0.02528754,1077684725.0,1077684725.0,0.642093,2021-02-13T16:55:14.277Z,0.0048443,2022-05-12T22:50:04.705Z
,tradoor,Tradoor TRADOOR,TRADOOR,1.94,0.5%,4168016.0,27988199.0,Derivatives,2025-11-05T13:15:16.162189,0.5340532771298894,1.92049,-27.691066513744282,998.0,2.07,1.89,14349000.0,60000000.0,4.98,2025-10-09T07:52:20.624Z,0.480172,2025-09-04T12:06:33.370Z
,thales,Thales THALES,THALES,0.304924,0.9%,13391.41,19466833.0,Derivatives,2025-11-05T13:15:16.290294,0.8986450057548525,2.545,3.4208871877872573,1225.0,0.304792,0.287209,63868947.0,100000000.0,3.75,2021-09-16T04:45:25.758Z,0.094149,2025-04-22T01:10:52.344Z
,syscoin,Syscoin SYS,SYS,0.0236882,0.9%,5256202.0,19430282.0,Masternodes,2025-11-05T13:15:01.633962,1.1104823532678811,-2.32229,-20.23587307964214,1226.0,0.02465141,0.02233394,844164545.4678606,844202729.2447983,1.3,2022-01-02T04:08:51.334Z,0.00020971,2015-02-22T00:00:00.000Z
,adrena,Adrena ADX,ADX,0.01968437,1.0%,126944.0,19364916.0,Derivatives,2025-11-05T13:15:16.435073,1.0193776301777167,-7.1267,-25.021749922976976,1230.0,0.02161048,0.01558247,987950781.126778,995087823.126778,0.234875,2024-11-09T03:43:51.501Z,0.01215506,2025-03-11T14:45:24.851Z
,bmx,BMX BMX,BMX,6.42,1.6%,269813.0,18136378.0,Derivatives,2025-11-05T13:15:16.554478,0.24207411830825193,-6.24707,-20.58622502164387,1277.0,6.9,5.54,2769636.74098222,2769636.74098222,15.37,2024-12-27T10:26:24.798Z,0.26035,2023-09-15T08:13:35.582Z
,parcl,Parcl PRCL,PRCL,0.03887994,0.8%,12525542.0,17652912.0,Derivatives,2025-11-05T13:15:16.716209,0.8328284524831132,-2.21423,-8.812210293950825,1292.0,0.0459696,0.03725869,452692822.772183,999998018.578814,0.736957,2024-04-22T10:16:47.961Z,0.03273921,2025-10-10T21:22:48.268Z
,superp,Superp SUP,SUP,0.091507,0.0%,37679191.0,16020151.0,Derivatives,2025-11-05T13:15:17.032399,-0.033734745572017284,-0.74449,-6.292925077230032,1360.0,0.094575,0.090032,175000000.0,1000000000.0,0.161004,2025-10-04T11:51:32.598Z,0.03046117,2025-08-07T21:32:19.969Z
,strike-2,Strike STRIKE,STRIKE,0.854345,1.0%,430883.0,15379077.0,Derivatives,2025-11-05T13:15:17.365069,1.0103239233937709,-8.55049,-28.469002174673324,1383.0,0.934226,0.740545,18000000.0,25000000.0,2.17,2025-08-27T09:16:02.603Z,0.063691,2024-10-25T20:32:56.346Z
,openverse-network,Openverse Network BTG,BTG,7.45,0.7%,34912731.0,14121360.0,Layer 0 (L0),2025-11-05T13:15:27.280507,0.6887708531975678,-3.99588,-52.85485824465045,1450.0,8.39,7.4,1900000.0,20000000.0,18.52,2025-10-24T00:20:17.876Z,4.56,2025-10-02T13:24:06.362Z
,zeta,Zeta ZEX,ZEX,0.0717,2.6%,550367.0,12047017.0,Derivatives,2025-11-05T13:15:17.834021,2.5261702789021725,-7.36297,-15.578471934257712,1541.0,0.077545,0.069541,171739828.790614,999997208.153521,0.307774,2024-06-27T14:06:08.974Z,0.02271741,2024-08-05T13:26:10.286Z
,lab,LAB LAB,LAB,0.15567,1.5%,32517432.0,11936644.0,Echo Launchpad,2025-11-05T13:14:54.002152,1.2444354705202043,9.4142,0.17511466340834708,1548.0,0.17125,0.136726,76546099.142,1000000000.0,0.413318,2025-10-30T22:12:34.057Z,0.075087,2025-10-14T12:17:13.399Z
,quickswap,Quickswap QUICK,QUICK,0.01607507,1.2%,4159930.0,11521464.0,Derivatives,2025-11-05T13:15:18.110410,1.1757049844136251,-1.01694,-14.899633749126027,1579.0,0.01651131,0.01513407,716263713.9605173,943283376.4965146,0.229794,2022-05-05T09:44:15.144Z,0.00662336,2022-09-04T18:06:22.569Z
,perpetual-protocol,Perpetual Protocol PERP,PERP,0.14159,1.2%,41060023.0,10338828.0,Derivatives,2025-11-05T13:15:18.242544,1.0845135874246852,-3.86172,-26.463895565058866,1661.0,0.148359,0.130386,72609864.24405634,150000000.0,24.4,2021-08-30T15:06:09.177Z,0.10955,2025-10-10T21:32:23.146Z
,pika-protocol,Pika Protocol PIKA,PIKA,0.540119,,40.83,10262265.0,Derivatives,2025-11-05T13:15:18.363555,,2.56867,-19.575869079456158,1668.0,0.544808,0.502112,19000000.0,100000000.0,1.26,2024-09-30T16:26:32.464Z,0.00342553,2025-02-04T08:40:46.731Z
,cryptex-finance,Cryptex Finance CTX,CTX,1.16,0.6%,7040665.0,9120773.0,Derivatives,2025-11-05T13:15:18.711438,-0.5713323927761148,1.1831,-5.424779117662693,1762.0,1.18,1.15,7838689.451174722,10000000.0,44.13,2021-09-13T15:58:08.605Z,0.790108,2023-10-11T11:55:08.611Z
,symmio,SYMMIO SYMM,SYMM,0.01254681,4.9%,28151.0,8960242.0,Derivatives,2025-11-05T13:15:18.825539,4.881850607864462,5.43069,-7.155418565987611,1772.0,0.01256035,0.01028047,723494433.1210982,849426537.3883382,0.150809,2024-12-17T13:23:40.125Z,0.00966497,2025-09-18T15:56:17.316Z
,gelato,Gelato GEL,GEL,0.03241942,0.3%,149964.0,8617519.0,Rollups-as-a-Service (RaaS),2025-11-05T13:14:47.001332,0.3467286414545877,-10.52663,-25.24204511983435,1800.0,0.03663719,0.03130327,265680665.28191763,420690000.0,4.21,2021-11-30T04:32:06.012Z,0.03130327,2025-11-05T01:30:42.748Z
,divi,Divi DIVI,DIVI,0.00163177,0.1%,54158.0,7299848.0,Masternodes,2025-11-05T13:15:01.853120,0.1265647759595935,-1.83813,6.955337779381263,1912.0,0.00169797,0.00162922,4473566963.553116,4473762179.553094,0.183363,2021-12-02T06:47:39.220Z,0.00038872,2024-09-14T07:10:42.875Z
,kwenta,Kwenta KWENTA,KWENTA,13.48,0.5%,183.95,7190661.0,Derivatives,2025-11-05T13:15:18.952189,-0.4802970838547623,-4.95558,-28.099985477055807,1919.0,14.44,12.67,532375.25598926,797713.826637721,790.99,2023-03-14T13:16:00.736Z,6.88,2025-08-24T15:42:54.358Z
